filename,width,height
./c-234/c-234_b-4.tif,5529,4373
./cas-2866/cas-2866_10-100.tif,5295,5295
./cas-2866/cas-2866_10-101.tif,5343,5319
./cas-2866/cas-2866_10-102.tif,5343,5343
./cas-2866/cas-2866_10-103.tif,5379,5319
./cas-2866/cas-2866_10-104.tif,5331,5332
./cas-2866/cas-2866_10-105.tif,5355,5355
./cas-2866/cas-2866_10-106.tif,5331,5307
./cas-2866/cas-2866_10-107.tif,5331,5295
./cas-2866/cas-2866_10-108.tif,5306,5307
./cas-2866/cas-2866_10-109.tif,5343,5331
./cas-2866/cas-2866_10-110.tif,5343,5295
./cas-2866/cas-2866_10-111.tif,5342,5331
./cas-2866/cas-2866_10-112.tif,5331,5319
./cas-2866/cas-2866_10-113.tif,5355,5331
./cas-2866/cas-2866_10-114.tif,5331,5320
./cas-2866/cas-2866_10-115.tif,5367,5367
./cas-2866/cas-2866_10-116.tif,5331,5307
./cas-2866/cas-2866_10-117.tif,5355,5355
./cas-2866/cas-2866_10-118.tif,5331,5343
./cas-2866/cas-2866_10-119.tif,5367,5343
./cas-2866/cas-2866_10-12.tif,5367,5331
./cas-2866/cas-2866_10-120.tif,5318,5319
./cas-2866/cas-2866_10-121.tif,5379,5319
./cas-2866/cas-2866_10-122.tif,5379,5343
./cas-2866/cas-2866_10-123.tif,5355,5343
./cas-2866/cas-2866_10-124.tif,5331,5319
./cas-2866/cas-2866_10-125.tif,5331,5319
./cas-2866/cas-2866_10-127.tif,5295,5284
./cas-2866/cas-2866_10-128.tif,5355,5271
./cas-2866/cas-2866_10-129.tif,5343,5355
./cas-2866/cas-2866_10-13.tif,5331,5355
./cas-2866/cas-2866_10-130.tif,5367,5319
./cas-2866/cas-2866_10-131.tif,5319,5355
./cas-2866/cas-2866_10-134.tif,5343,5331
./cas-2866/cas-2866_10-135.tif,5378,5331
./cas-2866/cas-2866_10-136.tif,5319,5307
./cas-2866/cas-2866_10-137.tif,5343,5308
./cas-2866/cas-2866_10-138.tif,5355,5343
./cas-2866/cas-2866_10-139.tif,5367,5320
./cas-2866/cas-2866_10-14.tif,5367,5367
./cas-2866/cas-2866_10-140.tif,5319,5319
./cas-2866/cas-2866_10-141.tif,5271,5320
./cas-2866/cas-2866_10-15.tif,5390,5355
./cas-2866/cas-2866_10-16.tif,5367,5319
./cas-2866/cas-2866_10-17.tif,5379,5331
./cas-2866/cas-2866_10-18.tif,5355,5355
./cas-2866/cas-2866_10-19.tif,5367,5343
./cas-2866/cas-2866_10-23.tif,5367,5331
./cas-2866/cas-2866_10-24.tif,5355,5331
./cas-2866/cas-2866_10-25.tif,5319,5331
./cas-2866/cas-2866_10-26.tif,5355,5307
./cas-2866/cas-2866_10-27.tif,5367,5355
./cas-2866/cas-2866_10-28.tif,5343,5307
./cas-2866/cas-2866_10-29.tif,5343,5355
./cas-2866/cas-2866_10-30.tif,5343,5308
./cas-2866/cas-2866_10-31.tif,5295,5307
./cas-2866/cas-2866_10-32.tif,5343,5367
./cas-2866/cas-2866_10-33.tif,5379,5343
./cas-2866/cas-2866_10-34.tif,5295,5331
